Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID
34096,,Spot,1,Image 1,13,1001113935,1196985
29736,,Spot,1,Image 1,13,1001142234,1197012
30536,,Spot,1,Image 1,13,1001113998,1197035
31076,,Spot,1,Image 1,13,1001128123,1197066
31772,,Spot,1,Image 1,13,1001176735,1197067
33164,,Spot,1,Image 1,13,1001114033,1197075
32976,,Spot,1,Image 1,13,1001114083,1197111
33508,,Spot,1,Image 1,13,1001114970,1197131
30836,,Spot,1,Image 1,13,1001114155,1197183
47240,,Spot,1,Image 1,13,1001114212,1197220
30416,,Spot,1,Image 1,13,1001114228,1197255
36816,,Spot,1,Image 1,13,1001121359,1197266
38036,,Spot,1,Image 1,13,1001114259,1197272
31692,,Spot,1,Image 1,13,1001135639,1197276
31920,,Spot,1,Image 1,13,1001135666,1197313
35748,,Spot,1,Image 1,13,1001114859,1197859
38704,,Spot,1,Image 1,13,1001114914,1197915
44336,,Spot,1,Image 1,13,1001114932,1197928
34144,,Spot,1,Image 1,13,1001128992,1197956
44616,,Spot,1,Image 1,13,1001114996,1197990
27896,,Spot,1,Image 1,14,1001108722,1198964
27540,,Spot,1,Image 1,14,1001108880,1199128
40708,,Spot,1,Image 1,14,1001108915,1199148
